series,seed,ok,keep,source,moves,level,lower_bound,ratio,seconds,id,generator,created_by,path
100,1,1,0,dfs,129,,17,7.59,0.059,,random_walk@1,beadmatch,
100,2,1,1,kociemba,19,2,19,1.0,0.005,20260913-000938-6a27,random_walk@1,beadmatch,puzzles\2\20260913-000938-6a27.txt
100,3,1,1,kociemba,26,3,23,1.13,0.023,20260913-000938-7761,random_walk@1,beadmatch,puzzles\3\20260913-000938-7761.txt
100,4,1,1,kociemba,28,3,21,1.33,0.024,20260913-000938-7e90,random_walk@1,beadmatch,puzzles\3\20260913-000938-7e90.txt
100,5,1,1,kociemba,28,3,21,1.33,0.028,20260913-000938-f06b,random_walk@1,beadmatch,puzzles\3\20260913-000938-f06b.txt
100,6,1,1,kociemba,32,4,22,1.45,0.008,20260913-000938-efe2,random_walk@1,beadmatch,puzzles\4\20260913-000938-efe2.txt
100,7,1,1,kociemba,19,2,16,1.19,0.007,20260913-000938-6a7a,random_walk@1,beadmatch,puzzles\2\20260913-000938-6a7a.txt
100,8,1,1,kociemba,27,3,16,1.69,0.01,20260913-000938-3737,random_walk@1,beadmatch,puzzles\3\20260913-000938-3737.txt
100,9,1,1,kociemba,20,2,17,1.18,0.008,20260913-000938-2346,random_walk@1,beadmatch,puzzles\2\20260913-000938-2346.txt
100,10,1,1,kociemba,21,3,18,1.17,0.017,20260913-000938-d8f2,random_walk@1,beadmatch,puzzles\3\20260913-000938-d8f2.txt
100,11,1,1,kociemba,18,2,17,1.06,0.007,20260913-000938-12ed,random_walk@1,beadmatch,puzzles\2\20260913-000938-12ed.txt
100,12,1,1,kociemba,25,3,19,1.32,0.006,20260913-000938-831a,random_walk@1,beadmatch,puzzles\3\20260913-000938-831a.txt
100,13,1,1,kociemba,29,3,20,1.45,0.007,20260913-000938-9553,random_walk@1,beadmatch,puzzles\3\20260913-000938-9553.txt
100,14,0,0,-,,,25,,5.212,,random_walk@1,beadmatch,
100,15,1,1,kociemba,21,3,15,1.4,0.008,20260913-000943-4be6,random_walk@1,beadmatch,puzzles\3\20260913-000943-4be6.txt
100,16,1,1,kociemba,28,3,20,1.4,0.011,20260913-000943-c925,random_walk@1,beadmatch,puzzles\3\20260913-000943-c925.txt
100,17,1,1,kociemba,19,2,17,1.12,0.003,20260913-000943-9115,random_walk@1,beadmatch,puzzles\2\20260913-000943-9115.txt
100,18,1,1,kociemba,21,3,18,1.17,0.019,20260913-000943-c045,random_walk@1,beadmatch,puzzles\3\20260913-000943-c045.txt
100,19,1,1,kociemba,32,4,20,1.6,0.011,20260913-000943-b34d,random_walk@1,beadmatch,puzzles\4\20260913-000943-b34d.txt
100,20,1,1,kociemba,31,4,19,1.63,0.026,20260913-000943-ba4c,random_walk@1,beadmatch,puzzles\4\20260913-000943-ba4c.txt
100,21,1,1,kociemba,37,4,21,1.76,0.01,20260913-000943-27e8,random_walk@1,beadmatch,puzzles\4\20260913-000943-27e8.txt
100,22,1,1,kociemba,23,3,19,1.21,0.03,20260913-000943-c297,random_walk@1,beadmatch,puzzles\3\20260913-000943-c297.txt
100,23,0,0,-,,,17,,5.462,,random_walk@1,beadmatch,
100,24,1,1,kociemba,23,3,18,1.28,0.005,20260913-000949-246d,random_walk@1,beadmatch,puzzles\3\20260913-000949-246d.txt
100,25,0,0,-,,,20,,5.305,,random_walk@1,beadmatch,
100,26,1,1,kociemba,27,3,20,1.35,0.029,20260913-000954-efda,random_walk@1,beadmatch,puzzles\3\20260913-000954-efda.txt
100,27,0,0,-,,,21,,5.546,,random_walk@1,beadmatch,
100,28,1,1,kociemba,17,2,14,1.21,0.003,20260913-001000-4598,random_walk@1,beadmatch,puzzles\2\20260913-001000-4598.txt
100,29,0,0,-,,,21,,5.373,,random_walk@1,beadmatch,
